StationKey,Type,LocationName,ID,Zip,ZipID,Latitude,Longitude,City,State,Country,AirportRank
PIAA,Station,PIAA,PIAA,61528,ZIP: 61528,40.77896,-89.72293,EDWARDS,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61529,ZIP: 61529,40.78147,-89.94202,CRAMERS,Illinois,United States,null
BMIA,Station,BMIA,BMIA,61530,ZIP: 61530,40.71406,-89.26042,EUREKA,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61531,ZIP: 61531,40.68308,-90.03503,FARMINGTON,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61532,ZIP: 61532,40.33949,-89.81879,BISHOP,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61533,ZIP: 61533,40.58651,-89.83933,GLASFORD,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61534,ZIP: 61534,40.41448,-89.6661,GREEN VALLEY,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61535,ZIP: 61535,40.58307,-89.52333,GRAND OAKS,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61536,ZIP: 61536,40.6899,-89.78701,HANNA CITY,Illinois,United States,null
STQA,Station,STQA,STQA,61537,ZIP: 61537,41.11702,-89.46635,HENRY,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61539,ZIP: 61539,40.55515,-89.76712,KINGSTON MINE,Illinois,United States,null
STQA,Station,STQA,STQA,61540,ZIP: 61540,41.01472,-89.37309,LACON,Illinois,United States,null
STQA,Station,STQA,STQA,61541,ZIP: 61541,40.98038,-89.23495,BELL PLAIN,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61542,ZIP: 61542,40.38632,-90.13464,DUNCANS MILLS,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61543,ZIP: 61543,40.42079,-89.97069,LIVERPOOL,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61544,ZIP: 61544,40.69175,-90.24007,LONDON MILLS,Illinois,United States,null
STQA,Station,STQA,STQA,61545,ZIP: 61545,40.87071,-89.35355,CAZENOVIA,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61546,ZIP: 61546,40.45394,-89.79886,MANITO,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61547,ZIP: 61547,40.60634,-89.73755,LAKE CAMELOT,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61548,ZIP: 61548,40.80915,-89.41403,GERMANTOWN HILLS,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61549,ZIP: 61549,null,null,MIDDLEGROVE,null,United States,null
PIAA,Station,PIAA,PIAA,61550,ZIP: 61550,40.61088,-89.44206,FIELD SHOPPING CENTER,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61552,ZIP: 61552,40.81758,-89.5657,MOSSVILLE,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61553,ZIP: 61553,40.62594,-90.03228,NORRIS,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61554,ZIP: 61554,40.54088,-89.61861,MARQUETTE HEIGHTS,Illinois,United States,null
PIAA,Station,PIAA,PIAA,61555,ZIP: 61555,null,null,PEKIN,null,United States,null
